Componente,Variable en Figma,Token en el tema,La usa una capa de Figma,La lee el CSS de PrimeNG,Veredicto,bloque,capa de Figma,selector CSS,accionable,motivo,revisado
badge,success/background,--p-badge-success-background,sí,sí,conectada,,,,,,
badge,success/color,--p-badge-success-color,sí,sí,conectada,,,,,,
badge,warn/background,--p-badge-warn-background,sí,sí,conectada,,,,,,
badge,warn/color,--p-badge-warn-color,sí,sí,conectada,,,,,,
badge,xl/font/size,--p-badge-xl-font-size,sí,sí,conectada,,,,,,
badge,xl/height,--p-badge-xl-height,sí,sí,conectada,,,,,,
badge,xl/min/width,--p-badge-xl-min-width,sí,sí,conectada,,,,,,
breadcrumb,background,--p-breadcrumb-background,sí,sí,conectada,,,,,,
breadcrumb,gap,--p-breadcrumb-gap,sí,sí,conectada,,,,,,
breadcrumb,item/border/radius,--p-breadcrumb-item-border-radius,sí,sí,conectada,,,,,,
breadcrumb,item/color,--p-breadcrumb-item-color,sí,sí,conectada,,,,,,
breadcrumb,item/focus/ring/color,--p-breadcrumb-item-focus-ring-color,sí,sí,conectada,,,,,,
breadcrumb,item/focus/ring/offset,--p-breadcrumb-item-focus-ring-offset,sí,sí,conectada,,,,,,
breadcrumb,item/focus/ring/width,--p-breadcrumb-item-focus-ring-width,no,sí,Figma no la usa,focusRing,no hay capa,,no,"anillo de foco: la capa dibuja hueco + anillo, la suma de dos tokens, y Figma no suma",2026-09-03
breadcrumb,item/gap,--p-breadcrumb-item-gap,sí,sí,conectada,,,,,,
breadcrumb,item/hover/color,--p-breadcrumb-item-hover-color,sí,sí,conectada,,,,,,
breadcrumb,item/icon/color,--p-breadcrumb-item-icon-color,sí,sí,conectada,,,,,,
breadcrumb,item/icon/hover/color,--p-breadcrumb-item-icon-hover-color,sí,sí,conectada,,,,,,
breadcrumb,padding,--p-breadcrumb-padding,sí,sí,conectada,,,,,,
breadcrumb,separator/color,--p-breadcrumb-separator-color,sí,sí,conectada,,,,,,
breadcrumb,,--p-breadcrumb-item-focus-ring-shadow,,sí,solo web,,,,,,
breadcrumb,,--p-breadcrumb-item-focus-ring-style,,sí,solo web,,,,,,
breadcrumb,,--p-breadcrumb-transition-duration,,sí,solo web,,,,,,
button,border/radius,--p-button-border-radius,sí,sí,conectada,,,,,,
button,contrast/active/background,--p-button-contrast-active-background,sí,sí,conectada,,,,,,
button,contrast/active/border/color,--p-button-contrast-active-border-color,sí,sí,conectada,,,,,,
button,contrast/active/color,--p-button-contrast-active-color,sí,sí,conectada,,,,,,
button,contrast/background,--p-button-contrast-background,sí,sí,conectada,,,,,,
button,contrast/border/color,--p-button-contrast-border-color,sí,sí,conectada,,,,,,
button,contrast/color,--p-button-contrast-color,sí,sí,conectada,,,,,,
button,contrast/focus/ring/color,--p-button-contrast-focus-ring-color,no,sí,Figma no la usa,focusRing,no hay capa,,no,"el Button NO dibuja estado de foco: su eje State solo tiene Idle, Hover y Active",2026-09-03
button,contrast/hover/background,--p-button-contrast-hover-background,sí,sí,conectada,,,,,,
button,contrast/hover/border/color,--p-button-contrast-hover-border-color,sí,sí,conectada,,,,,,
button,contrast/hover/color,--p-button-contrast-hover-color,sí,sí,conectada,,,,,,
button,danger/active/background,--p-button-danger-active-background,sí,sí,conectada,,,,,,
button,danger/active/border/color,--p-button-danger-active-border-color,sí,sí,conectada,,,,,,
button,danger/active/color,--p-button-danger-active-color,sí,sí,conectada,,,,,,
button,danger/background,--p-button-danger-background,sí,sí,conectada,,,,,,
button,danger/border/color,--p-button-danger-border-color,sí,sí,conectada,,,,,,
button,danger/color,--p-button-danger-color,sí,sí,conectada,,,,,,
button,danger/focus/ring/color,--p-button-danger-focus-ring-color,no,sí,Figma no la usa,focusRing,no hay capa,,no,"el Button NO dibuja estado de foco: su eje State solo tiene Idle, Hover y Active",2026-09-03
button,danger/hover/background,--p-button-danger-hover-background,sí,sí,conectada,,,,,,
button,danger/hover/border/color,--p-button-danger-hover-border-color,sí,sí,conectada,,,,,,
button,danger/hover/color,--p-button-danger-hover-color,sí,sí,conectada,,,,,,
button,figma/raised/background,,no,,solo Figma,,,,,,
button,focus/ring/offset,--p-button-focus-ring-offset,no,sí,Figma no la usa,focusRing,no hay capa,,no,"el Button NO dibuja estado de foco: su eje State solo tiene Idle, Hover y Active",2026-09-03
button,focus/ring/width,--p-button-focus-ring-width,no,sí,Figma no la usa,focusRing,no hay capa,,no,"el Button NO dibuja estado de foco: su eje State solo tiene Idle, Hover y Active",2026-09-03
button,gap,--p-button-gap,sí,sí,conectada,,,,,,
button,help/active/background,--p-button-help-active-background,sí,sí,conectada,,,,,,
button,help/active/border/color,--p-button-help-active-border-color,sí,sí,conectada,,,,,,
button,help/active/color,--p-button-help-active-color,sí,sí,conectada,,,,,,
button,help/background,--p-button-help-background,sí,sí,conectada,,,,,,
button,help/border/color,--p-button-help-border-color,sí,sí,conectada,,,,,,
button,help/color,--p-button-help-color,sí,sí,conectada,,,,,,
button,help/focus/ring/color,--p-button-help-focus-ring-color,no,sí,Figma no la usa,focusRing,no hay capa,,no,"el Button NO dibuja estado de foco: su eje State solo tiene Idle, Hover y Active",2026-09-03
button,help/hover/background,--p-button-help-hover-background,sí,sí,conectada,,,,,,
button,help/hover/border/color,--p-button-help-hover-border-color,sí,sí,conectada,,,,,,
button,help/hover/color,--p-button-help-hover-color,sí,sí,conectada,,,,,,
button,icon/only/width,--p-button-icon-only-width,sí,sí,conectada,,,,,,
button,info/active/background,--p-button-info-active-background,sí,sí,conectada,,,,,,
button,info/active/border/color,--p-button-info-active-border-color,sí,sí,conectada,,,,,,
button,info/active/color,--p-button-info-active-color,sí,sí,conectada,,,,,,
button,info/background,--p-button-info-background,sí,sí,conectada,,,,,,
button,info/border/color,--p-button-info-border-color,sí,sí,conectada,,,,,,
button,info/color,--p-button-info-color,sí,sí,conectada,,,,,,
button,info/focus/ring/color,--p-button-info-focus-ring-color,no,sí,Figma no la usa,focusRing,no hay capa,,no,"el Button NO dibuja estado de foco: su eje State solo tiene Idle, Hover y Active",2026-09-03
button,info/hover/background,--p-button-info-hover-background,sí,sí,conectada,,,,,,
button,info/hover/border/color,--p-button-info-hover-border-color,sí,sí,conectada,,,,,,
button,info/hover/color,--p-button-info-hover-color,sí,sí,conectada,,,,,,
button,label/font/weight,--p-button-label-font-weight,sí,sí,conectada,,,,,,
button,lg/font/size,--p-button-lg-font-size,sí,sí,conectada,,,,,,
button,lg/icon/only/width,--p-button-lg-icon-only-width,sí,sí,conectada,,,,,,
button,lg/padding/x,--p-button-lg-padding-x,sí,sí,conectada,,,,,,
button,lg/padding/y,--p-button-lg-padding-y,sí,sí,conectada,,,,,,
button,link/active/color,--p-button-link-active-color,sí,sí,conectada,root,"texto Button de la variante Link=True + State=Active, en los 3 sets",.p-button-link:active { color },HECHO,"estaba atada a button/link/color; mismo color, sin cambio visual",2026-09-03
button,link/color,--p-button-link-color,sí,sí,conectada,,,,,,
button,link/hover/color,--p-button-link-hover-color,sí,sí,conectada,,,,,,
button,outlined/contrast/active/background,--p-button-outlined-contrast-active-background,sí,sí,conectada,,,,,,
button,outlined/contrast/border/color,--p-button-outlined-contrast-border-color,sí,sí,conectada,,,,,,
button,outlined/contrast/color,--p-button-outlined-contrast-color,sí,sí,conectada,,,,,,
button,outlined/contrast/hover/background,--p-button-outlined-contrast-hover-background,sí,sí,conectada,,,,,,
button,outlined/danger/active/background,--p-button-outlined-danger-active-background,sí,sí,conectada,,,,,,
button,outlined/danger/border/color,--p-button-outlined-danger-border-color,sí,sí,conectada,,,,,,
button,outlined/danger/color,--p-button-outlined-danger-color,sí,sí,conectada,,,,,,
button,outlined/danger/hover/background,--p-button-outlined-danger-hover-background,sí,sí,conectada,,,,,,
button,outlined/help/active/background,--p-button-outlined-help-active-background,sí,sí,conectada,,,,,,
button,outlined/help/border/color,--p-button-outlined-help-border-color,sí,sí,conectada,,,,,,
button,outlined/help/color,--p-button-outlined-help-color,sí,sí,conectada,,,,,,
button,outlined/help/hover/background,--p-button-outlined-help-hover-background,sí,sí,conectada,,,,,,
button,outlined/info/active/background,--p-button-outlined-info-active-background,sí,sí,conectada,,,,,,
button,outlined/info/border/color,--p-button-outlined-info-border-color,sí,sí,conectada,,,,,,
button,outlined/info/color,--p-button-outlined-info-color,sí,sí,conectada,,,,,,
button,outlined/info/hover/background,--p-button-outlined-info-hover-background,sí,sí,conectada,,,,,,
button,outlined/plain/active/background,--p-button-outlined-plain-active-background,sí,sí,conectada,,,,,,
button,outlined/plain/border/color,--p-button-outlined-plain-border-color,sí,sí,conectada,,,,,,
button,outlined/plain/color,--p-button-outlined-plain-color,sí,sí,conectada,,,,,,
button,outlined/plain/hover/background,--p-button-outlined-plain-hover-background,sí,sí,conectada,,,,,,
button,outlined/primary/active/background,--p-button-outlined-primary-active-background,sí,sí,conectada,,,,,,
button,outlined/primary/border/color,--p-button-outlined-primary-border-color,sí,sí,conectada,,,,,,
button,outlined/primary/color,--p-button-outlined-primary-color,sí,sí,conectada,,,,,,
button,outlined/primary/hover/background,--p-button-outlined-primary-hover-background,sí,sí,conectada,,,,,,
button,outlined/secondary/active/background,--p-button-outlined-secondary-active-background,sí,sí,conectada,,,,,,
button,outlined/secondary/border/color,--p-button-outlined-secondary-border-color,sí,sí,conectada,,,,,,
button,outlined/secondary/color,--p-button-outlined-secondary-color,sí,sí,conectada,,,,,,
button,outlined/secondary/hover/background,--p-button-outlined-secondary-hover-background,sí,sí,conectada,,,,,,
button,outlined/success/active/background,--p-button-outlined-success-active-background,sí,sí,conectada,,,,,,
button,outlined/success/border/color,--p-button-outlined-success-border-color,sí,sí,conectada,,,,,,
button,outlined/success/color,--p-button-outlined-success-color,sí,sí,conectada,,,,,,
button,outlined/success/hover/background,--p-button-outlined-success-hover-background,sí,sí,conectada,,,,,,
button,outlined/warn/active/background,--p-button-outlined-warn-active-background,sí,sí,conectada,,,,,,
button,outlined/warn/border/color,--p-button-outlined-warn-border-color,sí,sí,conectada,,,,,,
button,outlined/warn/color,--p-button-outlined-warn-color,sí,sí,conectada,,,,,,
button,outlined/warn/hover/background,--p-button-outlined-warn-hover-background,sí,sí,conectada,,,,,,
button,padding/x,--p-button-padding-x,sí,sí,conectada,,,,,,
button,padding/y,--p-button-padding-y,sí,sí,conectada,,,,,,
button,primary/active/background,--p-button-primary-active-background,sí,sí,conectada,,,,,,
button,primary/active/border/color,--p-button-primary-active-border-color,sí,sí,conectada,,,,,,
button,primary/active/color,--p-button-primary-active-color,sí,sí,conectada,,,,,,
button,primary/background,--p-button-primary-background,sí,sí,conectada,,,,,,
button,primary/border/color,--p-button-primary-border-color,sí,sí,conectada,,,,,,
button,primary/color,--p-button-primary-color,sí,sí,conectada,,,,,,
button,primary/focus/ring/color,--p-button-primary-focus-ring-color,no,sí,Figma no la usa,focusRing,no hay capa,,no,"el Button NO dibuja estado de foco: su eje State solo tiene Idle, Hover y Active",2026-09-03
button,primary/hover/background,--p-button-primary-hover-background,sí,sí,conectada,,,,,,
button,primary/hover/border/color,--p-button-primary-hover-border-color,sí,sí,conectada,,,,,,
button,primary/hover/color,--p-button-primary-hover-color,sí,sí,conectada,,,,,,
button,rounded/border/radius,--p-button-rounded-border-radius,sí,sí,conectada,,,,,,
button,secondary/active/background,--p-button-secondary-active-background,sí,sí,conectada,,,,,,
button,secondary/active/border/color,--p-button-secondary-active-border-color,sí,sí,conectada,,,,,,
button,secondary/active/color,--p-button-secondary-active-color,sí,sí,conectada,,,,,,
button,secondary/background,--p-button-secondary-background,sí,sí,conectada,,,,,,
button,secondary/border/color,--p-button-secondary-border-color,sí,sí,conectada,,,,,,
button,secondary/color,--p-button-secondary-color,sí,sí,conectada,,,,,,
button,secondary/focus/ring/color,--p-button-secondary-focus-ring-color,no,sí,Figma no la usa,focusRing,no hay capa,,no,"el Button NO dibuja estado de foco: su eje State solo tiene Idle, Hover y Active",2026-09-03
button,secondary/hover/background,--p-button-secondary-hover-background,sí,sí,conectada,,,,,,
button,secondary/hover/border/color,--p-button-secondary-hover-border-color,sí,sí,conectada,,,,,,
button,secondary/hover/color,--p-button-secondary-hover-color,sí,sí,conectada,,,,,,
button,sm/font/size,--p-button-sm-font-size,sí,sí,conectada,,,,,,
button,sm/icon/only/width,--p-button-sm-icon-only-width,sí,sí,conectada,,,,,,
button,sm/padding/x,--p-button-sm-padding-x,sí,sí,conectada,,,,,,
button,sm/padding/y,--p-button-sm-padding-y,sí,sí,conectada,,,,,,
button,success/active/background,--p-button-success-active-background,sí,sí,conectada,,,,,,
button,success/active/border/color,--p-button-success-active-border-color,sí,sí,conectada,,,,,,
button,success/active/color,--p-button-success-active-color,sí,sí,conectada,,,,,,
button,success/background,--p-button-success-background,sí,sí,conectada,,,,,,
button,success/border/color,--p-button-success-border-color,sí,sí,conectada,,,,,,
button,success/color,--p-button-success-color,sí,sí,conectada,,,,,,
button,success/focus/ring/color,--p-button-success-focus-ring-color,no,sí,Figma no la usa,focusRing,no hay capa,,no,"el Button NO dibuja estado de foco: su eje State solo tiene Idle, Hover y Active",2026-09-03
button,success/hover/background,--p-button-success-hover-background,sí,sí,conectada,,,,,,
button,success/hover/border/color,--p-button-success-hover-border-color,sí,sí,conectada,,,,,,
button,success/hover/color,--p-button-success-hover-color,sí,sí,conectada,,,,,,
button,text/contrast/active/background,--p-button-text-contrast-active-background,sí,sí,conectada,,,,,,
button,text/contrast/color,--p-button-text-contrast-color,sí,sí,conectada,,,,,,
button,text/contrast/hover/background,--p-button-text-contrast-hover-background,sí,sí,conectada,,,,,,
button,text/danger/active/background,--p-button-text-danger-active-background,sí,sí,conectada,,,,,,
button,text/danger/color,--p-button-text-danger-color,sí,sí,conectada,,,,,,
button,text/danger/hover/background,--p-button-text-danger-hover-background,sí,sí,conectada,,,,,,
button,text/help/active/background,--p-button-text-help-active-background,sí,sí,conectada,,,,,,
button,text/help/color,--p-button-text-help-color,sí,sí,conectada,,,,,,
button,text/help/hover/background,--p-button-text-help-hover-background,sí,sí,conectada,,,,,,
button,text/info/active/background,--p-button-text-info-active-background,sí,sí,conectada,,,,,,
button,text/info/color,--p-button-text-info-color,sí,sí,conectada,,,,,,
button,text/info/hover/background,--p-button-text-info-hover-background,sí,sí,conectada,,,,,,
button,text/plain/active/background,--p-button-text-plain-active-background,sí,sí,conectada,,,,,,
button,text/plain/color,--p-button-text-plain-color,sí,sí,conectada,,,,,,
button,text/plain/hover/background,--p-button-text-plain-hover-background,sí,sí,conectada,,,,,,
button,text/primary/active/background,--p-button-text-primary-active-background,sí,sí,conectada,,,,,,
button,text/primary/color,--p-button-text-primary-color,sí,sí,conectada,,,,,,
button,text/primary/hover/background,--p-button-text-primary-hover-background,sí,sí,conectada,,,,,,
button,text/secondary/active/background,--p-button-text-secondary-active-background,sí,sí,conectada,,,,,,
button,text/secondary/color,--p-button-text-secondary-color,sí,sí,conectada,,,,,,
button,text/secondary/hover/background,--p-button-text-secondary-hover-background,sí,sí,conectada,,,,,,
button,text/success/active/background,--p-button-text-success-active-background,sí,sí,conectada,,,,,,
button,text/success/color,--p-button-text-success-color,sí,sí,conectada,,,,,,
button,text/success/hover/background,--p-button-text-success-hover-background,sí,sí,conectada,,,,,,
button,text/warn/active/background,--p-button-text-warn-active-background,sí,sí,conectada,,,,,,
button,text/warn/color,--p-button-text-warn-color,sí,sí,conectada,,,,,,
button,text/warn/hover/background,--p-button-text-warn-hover-background,sí,sí,conectada,,,,,,
button,warn/active/background,--p-button-warn-active-background,sí,sí,conectada,,,,,,
button,warn/active/border/color,--p-button-warn-active-border-color,sí,sí,conectada,,,,,,
button,warn/active/color,--p-button-warn-active-color,sí,sí,conectada,,,,,,
button,warn/background,--p-button-warn-background,sí,sí,conectada,,,,,,
button,warn/border/color,--p-button-warn-border-color,sí,sí,conectada,,,,,,
button,warn/color,--p-button-warn-color,sí,sí,conectada,,,,,,
button,warn/focus/ring/color,--p-button-warn-focus-ring-color,no,sí,Figma no la usa,focusRing,no hay capa,,no,"el Button NO dibuja estado de foco: su eje State solo tiene Idle, Hover y Active",2026-09-03
button,warn/hover/background,--p-button-warn-hover-background,sí,sí,conectada,,,,,,
button,warn/hover/border/color,--p-button-warn-hover-border-color,sí,sí,conectada,,,,,,
button,warn/hover/color,--p-button-warn-hover-color,sí,sí,conectada,,,,,,
button,,--p-button-badge-size,,sí,solo web,,,,,,
button,,--p-button-contrast-focus-ring-shadow,,sí,solo web,,,,,,
button,,--p-button-danger-focus-ring-shadow,,sí,solo web,,,,,,
button,,--p-button-focus-ring-style,,sí,solo web,,,,,,
button,,--p-button-help-focus-ring-shadow,,sí,solo web,,,,,,
button,,--p-button-info-focus-ring-shadow,,sí,solo web,,,,,,
button,,--p-button-primary-focus-ring-shadow,,sí,solo web,,,,,,
button,,--p-button-raised-shadow,,sí,solo web,,,,,,
button,,--p-button-secondary-focus-ring-shadow,,sí,solo web,,,,,,
button,,--p-button-success-focus-ring-shadow,,sí,solo web,,,,,,
button,,--p-button-transition-duration,,sí,solo web,,,,,,
button,,--p-button-warn-focus-ring-shadow,,sí,solo web,,,,,,
checkbox,background,--p-checkbox-background,sí,sí,conectada,,,,,,
checkbox,border/color,--p-checkbox-border-color,sí,sí,conectada,,,,,,
checkbox,border/radius,--p-checkbox-border-radius,sí,sí,conectada,,,,,,
checkbox,checked/background,--p-checkbox-checked-background,sí,sí,conectada,,,,,,
checkbox,checked/border/color,--p-checkbox-checked-border-color,sí,sí,conectada,,,,,,
checkbox,checked/disabled/border/color,--p-checkbox-checked-disabled-border-color,sí,sí,conectada,,,,,,
checkbox,checked/focus/border/color,--p-checkbox-checked-focus-border-color,sí,sí,conectada,root,"checkbox, 12 variantes marcadas",.p-checkbox-checked:has(:focus-visible) .p-checkbox-box,HECHO,idem,2026-09-03
checkbox,checked/hover/background,--p-checkbox-checked-hover-background,sí,sí,conectada,,,,,,
checkbox,checked/hover/border/color,--p-checkbox-checked-hover-border-color,sí,sí,conectada,,,,,,
checkbox,disabled/background,--p-checkbox-disabled-background,sí,sí,conectada,,,,,,
checkbox,filled/background,--p-checkbox-filled-background,sí,sí,conectada,,,,,,
checkbox,focus/border/color,--p-checkbox-focus-border-color,sí,sí,conectada,root,"checkbox (dentro de focusRing/offset), 12 variantes",.p-checkbox:has(:focus-visible) .p-checkbox-box,HECHO,"atadas 12 capas; 9 sin cambio de color, 15 corrigen el gris",2026-09-03
checkbox,focus/ring/color,--p-checkbox-focus-ring-color,sí,sí,conectada,,,,,,
checkbox,focus/ring/offset,--p-checkbox-focus-ring-offset,sí,sí,conectada,,,,,,
checkbox,focus/ring/width,--p-checkbox-focus-ring-width,no,sí,Figma no la usa,focusRing,no hay capa,outline-width,no,"anillo de foco: la capa dibuja hueco + anillo, la suma de dos tokens, y Figma no suma",2026-09-03
checkbox,height,--p-checkbox-height,sí,sí,conectada,,,,,,
checkbox,hover/border/color,--p-checkbox-hover-border-color,sí,sí,conectada,,,,,,
checkbox,icon/checked/color,--p-checkbox-icon-checked-color,sí,sí,conectada,,,,,,
checkbox,icon/checked/hover/color,--p-checkbox-icon-checked-hover-color,sí,sí,conectada,,,,,,
checkbox,icon/color,--p-checkbox-icon-color,no,sí,Figma no la usa,icon,no hay capa,.p-checkbox-icon,no,"el icono solo existe en las variantes marcadas, y usa icon/checked/color",2026-09-03
checkbox,icon/disabled/color,--p-checkbox-icon-disabled-color,sí,sí,conectada,,,,,,
checkbox,icon/lg/size,--p-checkbox-icon-lg-size,sí,sí,conectada,,,,,,
checkbox,icon/size,--p-checkbox-icon-size,sí,sí,conectada,,,,,,
checkbox,icon/sm/size,--p-checkbox-icon-sm-size,sí,sí,conectada,,,,,,
checkbox,invalid/border/color,--p-checkbox-invalid-border-color,no,sí,Figma no la usa,root,no hay capa,.p-checkbox.p-invalid .p-checkbox-box,no,FALTA DIBUJARLO: no hay variante inválida en el componente,2026-09-03
checkbox,lg/height,--p-checkbox-lg-height,sí,sí,conectada,,,,,,
checkbox,lg/width,--p-checkbox-lg-width,sí,sí,conectada,,,,,,
checkbox,sm/height,--p-checkbox-sm-height,sí,sí,conectada,,,,,,
checkbox,sm/width,--p-checkbox-sm-width,sí,sí,conectada,,,,,,
checkbox,width,--p-checkbox-width,sí,sí,conectada,,,,,,
checkbox,,--p-checkbox-focus-ring-shadow,,sí,solo web,,,,,,
checkbox,,--p-checkbox-focus-ring-style,,sí,solo web,,,,,,
checkbox,,--p-checkbox-shadow,,sí,solo web,,,,,,
checkbox,,--p-checkbox-transition-duration,,sí,solo web,,,,,,
chip,background,--p-chip-background,sí,sí,conectada,,,,,,
chip,border/radius,--p-chip-border-radius,sí,sí,conectada,,,,,,
chip,color,--p-chip-color,sí,sí,conectada,,,,,,
chip,gap,--p-chip-gap,sí,sí,conectada,,,,,,
chip,icon/color,--p-chip-icon-color,sí,sí,conectada,,,,,,
chip,icon/size,--p-chip-icon-size,sí,sí,conectada,,,,,,
chip,image/height,--p-chip-image-height,sí,sí,conectada,,,,,,
chip,image/width,--p-chip-image-width,sí,sí,conectada,,,,,,
chip,padding/x,--p-chip-padding-x,sí,sí,conectada,,,,,,
chip,padding/y,--p-chip-padding-y,sí,sí,conectada,,,,,,
chip,remove/icon/color,--p-chip-remove-icon-color,sí,sí,conectada,,,,,,
chip,remove/icon/focus/ring/color,--p-chip-remove-icon-focus-ring-color,sí,sí,conectada,,,,,,
chip,remove/icon/focus/ring/offset,--p-chip-remove-icon-focus-ring-offset,sí,sí,conectada,,,,,,
chip,remove/icon/focus/ring/width,--p-chip-remove-icon-focus-ring-width,no,sí,Figma no la usa,focusRing,no hay capa,,no,"anillo de foco: la capa dibuja hueco + anillo, la suma de dos tokens, y Figma no suma",2026-09-03
chip,remove/icon/size,--p-chip-remove-icon-size,sí,sí,conectada,,,,,,
chip,,--p-chip-remove-icon-focus-ring-shadow,,sí,solo web,,,,,,
chip,,--p-chip-remove-icon-focus-ring-style,,sí,solo web,,,,,,
chip,,--p-chip-transition-duration,,sí,solo web,,,,,,
contextmenu,background,--p-contextmenu-background,sí,sí,conectada,,,,,,
contextmenu,border/color,--p-contextmenu-border-color,sí,sí,conectada,,,,,,
contextmenu,border/radius,--p-contextmenu-border-radius,sí,sí,conectada,,,,,,
contextmenu,color,--p-contextmenu-color,no,sí,Figma no la usa,root,no hay capa,.p-contextmenu { color },no,idem,2026-09-03
contextmenu,item/active/background,--p-contextmenu-item-active-background,sí,sí,conectada,,,,,,
contextmenu,item/active/color,--p-contextmenu-item-active-color,sí,sí,conectada,,,,,,
contextmenu,item/border/radius,--p-contextmenu-item-border-radius,sí,sí,conectada,,,,,,
contextmenu,item/color,--p-contextmenu-item-color,sí,sí,conectada,,,,,,
contextmenu,item/focus/background,--p-contextmenu-item-focus-background,sí,sí,conectada,,,,,,
contextmenu,item/focus/color,--p-contextmenu-item-focus-color,sí,sí,conectada,,,,,,
contextmenu,item/gap,--p-contextmenu-item-gap,sí,sí,conectada,,,,,,
contextmenu,item/icon/active/color,--p-contextmenu-item-icon-active-color,sí,sí,conectada,item,"refresh, variante State=Active",.p-contextmenu-item-active .p-contextmenu-item-icon,HECHO,"estaba atada a item/icon/focus/color; mismo color, sin cambio visual",2026-09-03
contextmenu,item/icon/color,--p-contextmenu-item-icon-color,sí,sí,conectada,,,,,,
contextmenu,item/icon/focus/color,--p-contextmenu-item-icon-focus-color,sí,sí,conectada,,,,,,
contextmenu,item/padding/x,--p-contextmenu-item-padding,sí,sí,conectada,,,,,,
contextmenu,item/padding/y,--p-contextmenu-item-padding,sí,sí,conectada,,,,,,
contextmenu,list/gap,--p-contextmenu-list-gap,sí,sí,conectada,,,,,,
contextmenu,list/padding/x,--p-contextmenu-list-padding,sí,sí,conectada,,,,,,
contextmenu,list/padding/y,--p-contextmenu-list-padding,sí,sí,conectada,,,,,,
contextmenu,separator/border/color,--p-contextmenu-separator-border-color,sí,sí,conectada,,,,,,
